10015	IGNORE	Re-examine Cache-control Directives
10020	IGNORE	Missing Anti-clickjacking Header
10021	IGNORE	X-Content-Type-Options Header Missing
10027	IGNORE	Information Disclosure - Suspicious Comments
10029	IGNORE	Cookie Poisoning
10031	IGNORE	User Controllable HTML Element Attribute
10035	IGNORE	Strict-Transport-Security Header Not Set
10036	IGNORE	Server Leaks Version Information
10037	IGNORE	Server Leaks Information via X-Powered-By
10038	IGNORE	Content Security Policy Header Not Set
10049	IGNORE	Non-Storable Content
10054	IGNORE	Cookie without SameSite Attribute
10055	IGNORE	CSP Failure to Define Directive
10063	IGNORE	Permissions Policy Header Not Set
10094	IGNORE	Base64 Disclosure
10109	IGNORE	Modern Web Application
10111	IGNORE	Authentication Request Identified
10112	IGNORE	Session Management Response Identified
10202	IGNORE	Absence of Anti-CSRF Tokens
90004	IGNORE	Cross-Origin-Embedder-Policy Header Missing
90005	IGNORE	Sec-Fetch-Dest Header is Missing
10010	IGNORE	Cookie No HttpOnly Flag
90011	IGNORE	Charset Mismatch
